PERIODO	COMUNA	NÚMERO INCENDIOS FORESTALES	PINO INSIGNE 0 A 10 AÑOS	PINO INSIGNE 11 A 17 AÑOS	PINO INSIGNE 18 O MÁS AÑOS	PINO INSIGNE	EUCALIPTO	OTRAS SP.	TOTAL PLANTACIONES	ARBOLADO	MATORRAL	PASTIZAL	TOTAL NATURAL	TOTAL FORESTAL	TOTAL OTRAS SUPERFICIES	TOTAL SUPERFICIE AFECTADA
2015 - 2016	LONCOCHE	14	0,50	0,00	0,00	0,50	0,70	0,00	1,20	0,80	7,40	5,51	13,71	14,91	2,40	17,31
2015 - 2016	VILLARRICA	20	0,00	0,00	7,00	7,00	1,00	0,00	8,00	17,40	12,40	23,00	52,80	60,80	8,10	68,90
2015 - 2016	PUCON	1	0,00	0,00	0,00	0,00	3,00	0,00	3,00	0,00	0,00	0,00	0,00	3,00	0,00	3,00
2015 - 2016	CURARREHUE	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,85	0,00	0,00	0,85	0,85	0,00	0,85
2015 - 2016	MELIPEUCO	14	0,10	0,00	0,05	0,15	0,20	0,00	0,35	0,70	2,02	1,28	4,00	4,35	0,20	4,55
2015 - 2016	TEODORO SCHMIDT	2	0,80	0,00	0,00	0,80	0,00	0,00	0,80	0,00	2,16	0,00	2,16	2,96	3,00	5,96
2015 - 2016	PADRE LAS CASAS	34	2,01	1,46	2,50	5,97	7,90	0,00	13,87	2,60	20,72	14,45	37,77	51,64	32,16	83,80
2015 - 2016	VALDIVIA	18	0,00	0,00	0,00	0,00	2,14	4,00	6,14	12,48	52,87	20,70	86,05	92,19	3,00	95,19
2015 - 2016	MARIQUINA	16	0,00	0,00	0,00	0,00	145,75	0,00	145,75	34,55	15,12	6,95	56,62	202,37	97,99	300,36
2015 - 2016	LANCO	16	55,70	0,00	44,41	100,11	42,50	0,50	143,11	5,50	14,51	3,00	23,01	166,12	9,00	175,12
2015 - 2016	LOS LAGOS	38	0,10	0,00	0,50	0,60	4,20	0,00	4,80	3,40	22,24	6,25	31,89	36,69	5,00	41,69
2015 - 2016	CORRAL	10	0,50	0,00	3,00	3,50	11,50	0,00	15,00	10,60	32,60	1,30	44,50	59,50	0,20	59,70
2015 - 2016	MAFIL	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,50	0,50	0,20	1,20	1,20	0,00	1,20
2015 - 2016	PANGUIPULLI	9	8,50	0,00	5,60	14,10	1,00	0,00	15,10	16,00	15,21	0,30	31,51	46,61	12,70	59,31
2015 - 2016	PAILLACO	26	0,45	0,00	0,10	0,55	0,44	0,00	0,99	1,40	41,77	8,24	51,41	52,40	34,20	86,60
2015 - 2016	LA UNIÓN	30	1,10	0,30	0,00	1,40	1,90	0,00	3,30	0,20	13,36	22,85	36,41	39,71	65,80	105,51
2015 - 2016	FUTRONO															
2015 - 2016	RÍO BUENO	16	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,90	2,75	16,75	21,40	21,40	111,10	132,50
2015 - 2016	LAGO RANCO	3	0,00	0,00	0,00	0,00	3,60	0,00	3,60	23,50	9,00	0,00	32,50	36,10	0,00	36,10
2015 - 2016	OSORNO	9	0,00	2,20	1,50	3,70	0,10	0,00	3,80	0,00	5,85	25,05	30,90	34,70	35,15	69,85
2015 - 2016	SAN PABLO	9	1,40	0,00	2,51	3,91	8,50	0,00	12,41	0,30	9,20	5,90	15,40	27,81	21,50	49,31
2015 - 2016	PEYUHUE	2	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	2,20	0,00	2,20	2,20	0,00	2,20
2015 - 2016	PUERTO OCTAY	3	0,00	0,00	0,00	0,00	17,28	0,00	17,28	13,99	3,70	0,02	17,71	34,99	13,03	48,02
2015 - 2016	ENTRE LAGOS															
2015 - 2016	RIO NEGRO	1	0,00	0,00	0,00	0,00	0,20	0,00	0,20	1,25	0,00	0,00	1,25	1,45	13,25	14,70
2015 - 2016	PURRANQUE	2	0,00	0,00	0,00	0,00	23,50	0,00	23,50	2,00	1,50	0,00	3,50	27,00	10,00	37,00
2015 - 2016	SAN JUAN DE LA COSTA	9	0,00	0,00	0,00	0,00	1,30	0,00	1,30	5,05	3,31	0,90	9,26	10,56	0,10	10,66
2015 - 2016	PUERTO MONTT	160	0,00	0,00	1,20	1,20	0,70	0,00	1,90	70,53	199,98	23,83	294,33	296,23	17,67	313,90
2015 - 2016	COCHAMO															
2015 - 2016	CALBUCO	16	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,68	7,25	0,90	9,82	9,82	0,40	10,22
2015 - 2016	MAULLIN	8	0,00	0,00	0,00	0,00	102,00	4,00	106,00	31,20	76,50	20,00	127,70	233,70	0,10	233,80
2015 - 2016	LOS MUERMOS	2	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,05	0,16	0,00	0,21	0,21	0,00	0,21
2015 - 2016	FRESIA	3	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,20	0,05	1,20	1,45	1,45	0,60	2,05
2015 - 2016	FRUTILLAR															
2015 - 2016	LLANQUIHUE	3	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,10	1,70	2,80	2,80	5,00	7,80
2015 - 2016	PUERTO VARAS	21	0,00	0,00	0,00	0,00	1,00	0,00	1,00	3,55	110,92	23,35	137,82	138,82	20,50	159,32
2015 - 2016	CASTRO	23	0,00	0,00	0,01	0,01	0,30	0,00	0,31	8,70	42,00	11,00	61,70	62,01	3,20	65,21
2015 - 2016	ANCUD	12	0,10	0,00	0,00	0,10	0,25	0,00	0,35	9,52	10,37	1,50	21,39	21,74	2,05	23,79
2015 - 2016	QUEMCHI															
2015 - 2016	CURACO DE VELEZ															
2015 - 2016	DALCAHUE	16	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,99	24,35	3,24	29,58	29,58	1,50	31,08
2015 - 2016	QUINCHAO	5	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	4,40	1,20	5,60	5,60	0,00	5,60
2015 - 2016	PUQUELDON	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,10	0,85	0,05	1,00	1,00	0,00	1,00
2015 - 2016	CHONCHI	13	0,00	0,31	0,00	0,31	0,00	0,00	0,31	0,78	1,57	0,61	2,96	3,27	0,86	4,13
2015 - 2016	QUEILEN															
2015 - 2016	QUELLON	4	0,00	0,01	0,00	0,01	0,00	0,00	0,01	2,25	3,50	1,20	6,95	6,96	0,25	7,21
2015 - 2016	CHAITEN	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,50	0,00	1,50	1,50	0,00	1,50
2015 - 2016	PALENA	6	0,00	0,00	0,20	0,20	0,00	0,00	0,20	1.001,55	299,80	0,00	1.301,35	1.301,55	0,00	1.301,55
2015 - 2016	FUTALEUFU	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,20	0,00	0,00	1,20	1,20	0,00	1,20
2015 - 2016	HUALAIHUE	3	0,00	0,00	0,00	0,00	0,00	0,00	0,00	24,00	0,00	0,00	24,00	24,00	0,00	24,00
2015 - 2016	COYHAIQUE	23	0,00	51,92	73,00	124,92	0,00	0,00	124,92	46,50	7,29	30,19	83,98	208,90	6,51	215,41
2015 - 2016	LAGO VERDE	4	0,00	0,00	0,00	0,00	0,00	0,00	0,00	623,03	616,98	0,79	1.240,80	1.240,80	1,00	1.241,80
2015 - 2016	AYSEN	5	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,07	1,73	0,00	1,80	1,80	0,60	2,40
2015 - 2016	CISNES	5	0,00	0,00	0,00	0,00	0,00	0,00	0,00	6,65	6,60	0,35	13,60	13,60	3,00	16,60
2015 - 2016	GUAYTECAS	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	4,80	0,60	0,60	6,00	6,00	0,00	6,00
2015 - 2016	CHILE CHICO	2	0,00	0,00	0,00	0,00	0,00	0,36	0,36	3,08	301,08	801,08	1.105,24	1.105,60	0,00	1.105,60
2015 - 2016	RIO IBAÑEZ	3	0,00	0,00	14,45	14,45	0,00	0,00	14,45	50,02	1.733,80	211,49	1.995,31	2.009,76	0,00	2.009,76
2015 - 2016	COCHRANE	5	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,86	83,64	77,21	161,70	161,70	0,00	161,70
2015 - 2016	OHIGGINS	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	3,60	1,80	0,50	5,90	5,90	0,00	5,90
2015 - 2016	TORTEL	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	33,70	0,00	58,70	92,40	92,40	0,00	92,40
2015 - 2016	PUNTA ARENAS	11	0,00	0,00	0,00	0,00	0,00	69,81	69,81	11,83	13,01	3,33	28,17	97,98	0,90	98,87
2015 - 2016	LAGUNA BLANCA	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	0,00	0,00	1,00	1,00	0,00	1,00
2015 - 2016	RIO VERDE															
2015 - 2016	SAN GREGORIO															
2015 - 2016	PUERTO NATALES	9	0,00	0,00	0,00	0,00	0,00	0,20	0,20	0,92	1,49	1,28	3,69	3,89	0,20	4,09
2015 - 2016	TORRES DEL PAINE	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	2,00	3,50	5,50	5,50	0,00	5,50
2015 - 2016	PORVENIR															
2015 - 2016	TIMAUKEL	3	0,00	0,00	0,00	0,00	0,00	0,00	0,00	8,20	7,30	15,00	30,50	30,50	0,01	30,51
2015 - 2016	PRIMAVERA															
2015 - 2016	NAVARINO															
2015 - 2016	COLINA	5	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	4,20	14,40	18,60	18,60	0,50	19,10
2015 - 2016	LAMPA	36	0,00	0,00	0,00	0,00	1,20	5,50	6,70	89,65	218,50	612,95	921,10	927,80	44,00	971,80
2015 - 2016	TILTIL	5	0,00	0,00	0,00	0,00	0,40	0,00	0,40	2,00	29,40	66,50	97,90	98,30	0,00	98,30
2015 - 2016	PUENTE ALTO	4	0,00	0,00	0,00	0,00	0,30	0,00	0,30	0,05	0,55	1,40	2,00	2,30	0,00	2,30
2015 - 2016	PIRQUE	15	0,00	0,00	0,00	0,00	1,10	0,00	1,10	17,64	27,06	22,66	67,36	68,46	0,00	68,46
2015 - 2016	SAN JOSE DE MAIPO															
2015 - 2016	SAN BERNARDO	11	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	21,70	40,00	61,70	61,70	0,10	61,80
2015 - 2016	BUIN	2	0,00	0,00	0,00	0,00	0,00	0,50	0,50	0,00	0,50	3,30	3,80	4,30	0,00	4,30
2015 - 2016	PAINE	9	0,00	0,00	0,00	0,00	3,00	0,00	3,00	0,70	0,98	6,47	8,15	11,15	0,00	11,15
2015 - 2016	CALERA DE TANGO	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,03	0,07	0,10	0,10	0,00	0,10
2015 - 2016	TALAGANTE	7	0,00	0,00	0,00	0,00	1,20	0,00	1,20	3,10	7,40	15,10	25,60	26,80	0,00	26,80
2015 - 2016	PENAFLOR	5	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,80	6,50	8,30	8,30	0,00	8,30
2015 - 2016	EL MONTE	4	0,00	0,00	0,00	0,00	0,20	0,00	0,20	0,00	5,30	4,11	9,41	9,61	0,00	9,61
2015 - 2016	ISLA DE MAIPO	5	0,00	0,00	0,00	0,00	4,40	1,50	5,90	2,00	11,90	6,80	20,70	26,60	0,00	26,60
2015 - 2016	PADRE HURTADO	4	0,00	0,00	0,00	0,00	0,00	0,00	0,00	61,00	87,00	196,10	344,10	344,10	0,00	344,10
2015 - 2016	MELIPILLA	53	0,00	0,00	0,00	0,00	4,70	0,40	5,10	35,30	175,10	294,95	505,35	510,45	0,10	510,55
2015 - 2016	MARIA PINTO	7	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,20	3,30	10,50	15,00	15,00	9,50	24,50
2015 - 2016	SAN PEDRO	18	0,00	0,00	0,00	0,00	152,72	0,00	152,72	6,23	34,82	45,46	86,51	239,23	5,83	245,06
2015 - 2016	CURACAVI	29	0,00	0,00	0,00	0,00	0,50	0,00	0,50	9,30	23,36	40,93	73,59	74,09	0,01	74,10
2015 - 2016	ALHUE	7	0,00	0,00	0,00	0,00	0,11	0,00	0,11	1,55	2,87	3,93	8,35	8,46	0,00	8,46
2015 - 2016	SANTIAGO															
2015 - 2016	INDEPENDENCIA															
2015 - 2016	RECOLETA	2	0,00	0,00	0,00	0,00	0,00	0,10	0,10	0,00	0,70	1,30	2,00	2,10	0,00	2,10
2015 - 2016	ESTACION CENTRAL															
2015 - 2016	CONCHALI	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	2,00	8,00	10,00	10,00	0,00	10,00
2015 - 2016	HUECHURABA	9	0,00	0,00	0,00	0,00	0,03	0,00	0,03	0,70	2,49	8,54	11,73	11,76	0,00	11,76
2015 - 2016	QUILICURA	2	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	5,00	22,00	27,00	27,00	0,00	27,00
2015 - 2016	RENCA	12	0,00	0,00	0,00	0,00	2,00	0,00	2,00	0,10	3,20	13,72	17,02	19,02	0,00	19,02
2015 - 2016	QUINTA NORMAL															
2015 - 2016	PUDAHUEL	5	0,00	0,00	0,00	0,00	0,50	0,10	0,60	0,00	2,90	8,10	11,00	11,60	0,00	11,60
2015 - 2016	CERRO NAVIA															
2015 - 2016	LO PRADO															
2015 - 2016	MAIPU	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,10	0,40	0,50	0,50	0,00	0,50
2015 - 2016	PEDRO AGUIRRE CERDA															
2015 - 2016	CERRILLOS															
2015 - 2016	LO ESPEJO															
2015 - 2016	LA PINTANA															
2015 - 2016	EL BOSQUE															
2015 - 2016	LA FLORIDA	3	0	0	0	0	1,5	0	1,5	0,5	4,3	9,2	14	15,5	0	15,5
2015 - 2016	LA GRANJA															
2015 - 2016	MACUL															
2015 - 2016	PENALOLEN	1	0,00	0,00	0,00	0,00	0,10	0,00	0,10	0,00	0,30	0,40	0,70	0,80	0,00	0,80
2015 - 2016	LA REINA	3	0,00	0,00	0,00	0,00	0,00	1,00	1,00	0,51	1,50	1,90	3,91	4,91	0,00	4,91
2015 - 2016	PROVIDENCIA															
2015 - 2016	ÑUÑOA															
2015 - 2016	LAS CONDES	4	0	0	0	0	0	3,4	3,4	1	4,05	9,65	14,7	18,1	0	18,1
2015 - 2016	VITACURA	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,20	0,30	0,50	1,00	1,00	0,00	1,00
2015 - 2016	LO BARNECHEA	2	0,00	0,00	0,00	0,00	0,00	0,00	0,00	6,00	7,00	31,00	44,00	44,00	0,00	44,00
2014 - 2015	COPIAPO					0,00			0,00				0,00	0,00	0,00	0,00
2014 - 2015	CALDERA					0,00			0,00				0,00	0,00	0,00	0,00
2014 - 2015	TIERRA AMARILLA					0,00			0,00				0,00	0,00	0,00	0,00
2014 - 2015	ALTO DEL CARMEN					0,00			0,00				0,00	0,00	0,00	0,00
2014 - 2015	FREIRINA					0,00			0,00				0,00	0,00	0,00	0,00
2014 - 2015	HUASCO					0,00			0,00				0,00	0,00	0,00	0,00
2014 - 2015	VALLENAR					0,00			0,00				0,00	0,00	0,00	0,00
2014 - 2015	ANDACOLLO					0,00			0,00				0,00	0,00	0,00	0,00
2014 - 2015	COQUIMBO	3	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,59	0,20	0,79	0,79	0,00	0,79
2014 - 2015	LA HIGUERA					0,00			0,00				0,00	0,00	0,00	0,00
2014 - 2015	LA SERENA	15	0,00	0,00	0,00	0,00	0,31	0,71	1,02	0,59	1,00	0,28	1,87	2,89	0,11	3,00
2014 - 2015	PAIHUANO	2	0,00	0,00	0,00	0,00	0,10	2,50	2,60	1,50	3,50	0,40	5,40	8,00	0,00	8,00
2014 - 2015	VICUNA					0,00			0,00				0,00	0,00	0,00	0,00
2014 - 2015	COMBARBALA					0,00			0,00				0,00	0,00	0,00	0,00
2014 - 2015	MONTE PATRIA					0,00			0,00				0,00	0,00	0,00	0,00
2014 - 2015	OVALLE	25	0,00	0,00	0,00	0,00	10,71	0,02	10,73	10,51	10,64	5,73	26,88	37,61	0,00	37,61
2014 - 2015	PUNITAQUI					0,00			0,00				0,00	0,00	0,00	0,00
2014 - 2015	RIO HURTADO	2	0,00	0,00	0,00	0,00	0,00	0,00	0,00	12,00	6,00	1,00	19,00	19,00	0,00	19,00
2014 - 2015	CANELA					0,00			0,00				0,00	0,00	0,00	0,00
2014 - 2015	ILLAPEL					0,00			0,00				0,00	0,00	0,00	0,00
2014 - 2015	LOS VILOS	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	10,00	0,00	10,00	10,00	0,00	10,00
2014 - 2015	MINCHA					0,00			0,00				0,00	0,00	0,00	
2014 - 2015	SALAMANCA	5	0,00	0,00	0,00	0,00	0,50	0,00	0,50	4,00	46,00	19,00	69,00	69,50	0,00	69,50
2014 - 2015	CABILDO	3	0,00	0,00	0,00	0,00	0,50	0,80	1,30	0,00	0,74	5,36	6,10	7,40	0,00	7,40
2014 - 2015	LA LIGUA	21	0,00	0,00	0,00	0,00	0,09	0,00	0,09	8,01	28,69	86,73	123,43	123,52	0,01	123,53
2014 - 2015	PAPUDO	7	0,00	0,00	0,00	0,00	3,90	0,00	3,90	0,10	3,89	3,67	7,66	11,56	0,00	11,56
2014 - 2015	PETORCA	2	0,00	0,00	0,00	0,00	0,00	0,00	0,00	2,00	18,50	20,98	41,48	41,48	0,00	41,48
2014 - 2015	ZAPALLAR	2	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,01	0,04	0,05	0,05	0,00	0,05
2014 - 2015	CALLE LARGA					0,00			0,00				0,00	0,00	0,00	0,00
2014 - 2015	LOS ANDES	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,50	0,50	0,50	0,00	0,50
2014 - 2015	RINCONADA	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,02	0,08	0,10	0,10	0,00	0,10
2014 - 2015	SAN ESTEBAN	3	0,00	0,00	0,00	0,00	0,00	0,20	0,20	0,92	10,90	14,20	26,02	26,22	0,00	26,22
2014 - 2015	CATEMU	1	0,00	0,00	0,00	0,00	1,00	0,00	1,00	0,00	1,00	0,00	1,00	2,00	0,00	2,00
2014 - 2015	LLAILLAY	4	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,77	2,80	3,57	3,57	0,00	3,57
2014 - 2015	PANQUEHUE	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,10	0,10	0,20	0,20	0,10	0,30
2014 - 2015	PUTAENDO 	3	0,00	0,00	0,00	0,00	0,01	0,00	0,01	3,50	86,85	6,76	97,11	97,12	0,00	97,12
2014 - 2015	SAN FELIPE	6	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	8,54	0,76	9,30	9,30	0,00	9,30
2014 - 2015	SANTA MARIA					0,00			0,00				0,00	0,00	0,00	0,00
2014 - 2015	HIJUELAS	15	0,00	0,83	0,00	0,83	3,14	0,00	3,97	496,91	306,44	34,02	837,37	841,34	0,05	841,39
2014 - 2015	CALERA	25	0,00	0,00	0,00	0,00	11,23	0,00	11,23	0,40	9,03	33,76	43,19	54,42	0,00	54,42
2014 - 2015	LA CRUZ	22	0,00	0,00	0,00	0,00	1,07	0,25	1,32	0,22	10,64	13,04	23,90	25,22	0,00	25,22
2014 - 2015	LIMACHE	37	0,00	0,00	0,00	0,00	0,17	0,00	0,17	1,34	13,03	23,48	37,85	38,02	0,04	38,06
2014 - 2015	NOGALES	14	0,00	0,00	0,00	0,00	1,25	0,50	1,75	1,14	5,22	7,07	13,43	15,18	0,00	15,18
2014 - 2015	OLMUE	7	0,00	0,00	0,00	0,00	0,05	0,00	0,05	2,00	2,18	1,26	5,44	5,49	0,00	5,49
2014 - 2015	QUILLOTA	41	0,00	0,00	0,00	0,00	0,87	0,00	0,87	1,47	35,59	35,24	72,30	73,17	0,19	73,36
2014 - 2015	CASABLANCA	19	0,00	2,43	88,06	90,49	91,69	0,00	182,18	252,48	209,19	90,58	552,25	734,43	3,40	737,83
2014 - 2015	CONCON	12	0,00	0,10	0,00	0,10	0,06	0,00	0,16	0,05	1,52	3,24	4,81	4,97	0,00	4,97
2014 - 2015	PUCHUNCAVI	12	0,00	0,00	0,00	0,00	0,57	0,00	0,57	1,93	2,46	1,95	6,34	6,91	0,32	7,23
2014 - 2015	QUILPUE	71	0,00	0,00	0,00	0,00	5,39	0,00	5,39	47,71	164,66	88,73	301,10	306,49	0,08	306,57
2014 - 2015	QUINTERO	9	0,00	0,30	0,02	0,32	3,93	0,00	4,25	2,43	92,37	16,14	110,94	115,19	3,50	118,69
2014 - 2015	VALPARAISO	174	5,61	240,82	1,96	248,39	103,94	0,05	352,38	29,65	260,99	17,03	307,67	660,05	10,61	670,66
2014 - 2015	VILLA ALEMANA	50	0,00	0,00	0,00	0,00	1,78	0,00	1,78	2,23	6,21	18,18	26,62	28,40	0,05	28,45
2014 - 2015	VINA DEL MAR	57	0,09	0,14	0,00	0,23	4,41	0,00	4,64	0,27	5,09	6,04	11,40	16,04	0,11	16,15
2014 - 2015	JUAN FERNANDEZ					0,00			0,00				0,00	0,00	0,00	0,00
2014 - 2015	ALGARROBO	8	0,20	0,00	0,00	0,20	4,80	0,00	5,00	1,90	13,83	30,02	45,75	50,75	2,05	52,80
2014 - 2015	CARTAGENA	43	0,00	0,00	0,00	0,00	2,95	0,00	2,95	0,30	3,99	18,01	22,30	25,25	0,06	25,31
2014 - 2015	EL QUISCO	11	0,15	8,10	0,00	8,25	0,07	0,00	8,32	0,00	0,57	4,27	4,84	13,16	0,31	13,47
2014 - 2015	EL TABO	12	0,28	0,00	0,00	0,28	0,94	0,00	1,22	0,00	0,09	0,38	0,47	1,69	0,14	1,83
2014 - 2015	SAN ANTONIO	112	0,10	0,15	0,00	0,25	55,80	4,50	60,55	34,87	60,64	162,35	257,86	318,41	0,84	319,25
2014 - 2015	SANTO DOMINGO	24	0,00	0,00	0,50	0,50	2,50	3,00	6,00	3,08	13,42	43,21	59,71	65,71	2,26	67,97
2014 - 2015	ISLA DE PASCUA	35	0,00	0,00	0,00	0,00	34,50	0,00	34,50	0,00	10,50	433,60	444,10	478,60	12,00	490,60
2014 - 2015	RANCAGUA					0,00			0,00				0,00	0,00	0,00	0,00
2014 - 2015	MACHALI	16	0,00	0,00	0,02	0,02	2,70	0,00	2,72	49,80	132,96	43,04	225,80	228,52	2,20	230,72
2014 - 2015	GRANEROS	2	0,00	0,00	0,00	0,00	0,00	0,00	0,00	2,55	1,05	0,70	4,30	4,30	0,00	4,30
2014 - 2015	CODEGUA	11	0,00	0,00	0,00	0,00	6,30	1,00	7,30	88,50	34,50	28,90	151,90	159,20	8,00	167,20
2014 - 2015	MOSTAZAL	12	0,00	0,00	0,00	0,00	1,50	0,40	1,90	67,70	235,80	55,00	358,50	360,40	4,00	364,40
2014 - 2015	REQUINOA	4	0,00	0,00	0,00	0,00	1,00	0,00	1,00	0,00	5,75	22,75	28,50	29,50	0,00	29,50
2014 - 2015	OLIVAR					0,00			0,00				0,00	0,00	0,00	0,00
2014 - 2015	RENGO	12	0,00	0,00	0,00	0,00	36,35	17,00	53,35	596,00	495,15	415,40	1.506,55	1.559,90	33,00	1.592,90
2014 - 2015	QUINTA DE TILCOCO	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,20	0,60	0,20	1,00	1,00	0,00	1,00
2014 - 2015	MALLOA	5	0,00	0,00	0,00	0,00	4,00	0,00	4,00	0,50	9,50	14,80	24,80	28,80	0,10	28,90
2014 - 2015	SAN VICENTE TAGUA TAGUA	7	0,00	0,00	0,00	0,00	0,00	6,00	6,00	40,10	38,40	34,40	112,90	118,90	0,00	118,90
2014 - 2015	DONIHUE	2	0,00	0,00	0,00	0,00	0,10	0,00	0,10	0,00	1,30	1,20	2,50	2,60	0,00	2,60
2014 - 2015	COINCO	2	0,00	0,00	0,00	0,00	0,50	0,00	0,50	0,50	10,00	23,00	33,50	34,00	0,00	34,00
2014 - 2015	COLTAUCO	17	0,00	0,00	0,00	0,00	0,10	0,50	0,60	26,40	22,12	11,83	60,35	60,95	0,00	60,95
2014 - 2015	PICHIDEGUA	10	0,00	0,00	0,00	0,00	4,00	0,00	4,00	106,60	83,70	104,40	294,70	298,70	0,00	298,70
2014 - 2015	PEUMO	3	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,25	0,85	0,70	1,80	1,80	0,00	1,80
2014 - 2015	LAS CABRAS	14	0,00	2,00	1,00	3,00	10,30	0,00	13,30	250,50	440,70	497,00	1.188,20	1.201,50	25,00	1.226,50
2014 - 2015	SAN FERNANDO	23	0,00	0,00	0,00	0,00	5,10	0,40	5,50	98,80	177,30	98,70	374,80	380,30	0,40	380,70
2014 - 2015	CHIMBARONGO	9	0,00	0,00	0,00	0,00	9,00	0,00	9,00	52,00	25,20	12,05	89,25	98,25	0,00	98,25
2014 - 2015	NANCAGUA					0,00			0,00				0,00	0,00	0,00	0,00
2014 - 2015	PLACILLA	3	0,00	0,00	0,00	0,00	0,20	0,00	0,20	0,60	3,00	4,30	7,90	8,10	0,00	8,10
2014 - 2015	CHEPICA	1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,10	0,10	0,10	0,00	0,10
2014 - 2015	SANTA CRUZ	12	0,10	6,00	0,00	6,10	0,10	0,15	6,35	79,20	82,90	31,40	193,50	199,85	17,95	217,80
2014 - 2015	PALMILLA	3	0,00	0,00	0,00	0,00	0,70	0,50	1,20	20,00	20,10	28,10	68,20	69,40	0,00	69,40
2014 - 2015	LOLOL	6	8,00	0,00	19,00	27,00	11,50	0,00	38,50	20,00	55,25	85,20	160,45	198,95	2,00	200,95
2014 - 2015	PUMANQUE	4	0,00	10,50	0,00	10,50	41,50	0,00	52,00	0,00	13,50	27,80	41,30	93,30	3,00	96,30
2014 - 2015	PERALILLO	6	0,00	14,00	0,00	14,00	12,00	0,00	26,00	857,00	850,30	322,20	2.029,50	2.055,50	123,20	2.178,70
2014 - 2015	PICHILEMU	6	0,00	0,00	57,80	57,80	22,10	0,30	80,20	0,00	10,20	21,60	31,80	112,00	11,30	123,30
2014 - 2015	PAREDONES	2	15,00	0,00	0,00	15,00	2,50	0,00	17,50	3,00	3,00	2,10	8,10	25,60	1,10	26,70
2014 - 2015	MARCHIHUE	7	2,00	0,00	0,00	2,00	34,10	0,00	36,10	5,00	14,00	31,00	50,00	86,10	6,00	92,10
2014 - 2015	LITUECHE	18	9,20	0,10	6,10	15,40	50,40	0,20	66,00	80,40	192,15	384,46	657,01	723,01	12,10	735,11
2014 - 2015	LA ESTRELLA	15	0,00	0,00	0,00	0,00	3,00	2,20	5,20	170,00	526,55	995,25	1.691,80	1.697,00	35,90	1.732,90
2014 - 2015	NAVIDAD	2	0,50	0,00	7,00	7,50	32,50	0,00	40,00	32,50	10,00	25,00	67,50	107,50	0,50	108,00
2014 - 2015	CURICO	30	0,00	0,00	0,00	0,00	2,40	0,50	2,90	151,32	135,70	147,02	434,04	436,94	0,50	437,44
2014 - 2015	RAUCO	7	0,00	0,00	0,00	0,00	1,70	0,00	1,70	0,00	15,70	21,50	37,20	38,90	0,50	39,40
2014 - 2015	ROMERAL	10	0,00	0,00	0,00	0,00	1,00	0,00	1,00	3,02	10,83	6,30	20,15	21,15	9,57	30,72
2014 - 2015	TENO	17	0,00	0,00	0,00	0,00	2,30	0,20	2,50	0,00	14,26	18,33	32,59	35,09	7,25	42,34
